CarName	enginelocation	cylindernumber	fueltype	aspiration	doornumber	carbody	drivewheel	enginetype	fuelsystem	wheelbase	carlength	carwidth	carheight	curbweight	symboling	enginesize	boreratio	stroke	compressionratio	horsepower	peakrpm	citympg	highwaympg	price
toyota corolla tercel	front	four	gas	std	two	hatchback	rwd	dohc	mpfi	94.5	168.7	64	52.6	2300	1	98	3.24	3.08	9.4	112	6600	26	29	9538
toyota corona liftback	front	four	gas	std	two	hardtop	rwd	ohc	mpfi	98.4	176.2	65.6	52	2540	2	146	3.62	3.5	9.3	116	4800	24	30	8449
toyota corolla	front	four	gas	std	two	hardtop	rwd	ohc	mpfi	98.4	176.2	65.6	52	2536	2	146	3.62	3.5	9.3	116	4800	24	30	9639
toyota starlet	front	four	gas	std	two	hatchback	rwd	ohc	mpfi	98.4	176.2	65.6	52	2551	2	146	3.62	3.5	9.3	116	4800	24	30	9989
toyota tercel	front	four	gas	std	two	hardtop	rwd	ohc	mpfi	98.4	176.2	65.6	52	2679	2	146	3.62	3.5	9.3	116	4800	24	30	11199
toyota corolla	front	four	gas	std	two	hatchback	rwd	ohc	mpfi	98.4	176.2	65.6	52	2714	2	146	3.62	3.5	9.3	116	4800	24	30	11549
toyota cressida	front	four	gas	std	two	convertible	rwd	ohc	mpfi	98.4	176.2	65.6	53	2975	2	146	3.62	3.5	9.3	116	4800	24	30	17669
toyota corolla	front	four	gas	std	four	sedan	fwd	ohc	mpfi	102.4	175.6	66.5	54.9	2326	-1	122	3.31	3.54	8.7	92	4200	29	34	8948
toyota celica gt	front	four	diesel	turbo	four	sedan	fwd	ohc	idi	102.4	175.6	66.5	54.9	2480	-1	110	3.27	3.35	22.5	73	4500	30	33	10698
toyota corona	front	four	gas	std	four	hatchback	fwd	ohc	mpfi	102.4	175.6	66.5	53.9	2414	-1	122	3.31	3.54	8.7	92	4200	27	32	9988
toyota corolla	front	four	gas	std	four	sedan	fwd	ohc	mpfi	102.4	175.6	66.5	54.9	2414	-1	122	3.31	3.54	8.7	92	4200	27	32	10898
toyota mark ii	front	four	gas	std	four	hatchback	fwd	ohc	mpfi	102.4	175.6	66.5	53.9	2458	-1	122	3.31	3.54	8.7	92	4200	27	32	11248
toyota corolla liftback	front	six	gas	std	two	hatchback	rwd	dohc	mpfi	102.9	183.5	67.7	52	2976	3	171	3.27	3.35	9.3	161	5200	20	24	16558
toyota corona	front	six	gas	std	two	hatchback	rwd	dohc	mpfi	102.9	183.5	67.7	52	3016	3	171	3.27	3.35	9.3	161	5200	19	24	15998
toyota starlet	front	six	gas	std	four	sedan	rwd	dohc	mpfi	104.5	187.8	66.5	54.1	3131	-1	171	3.27	3.35	9.2	156	5200	20	24	15690
toyouta tercel	front	six	gas	std	four	wagon	rwd	dohc	mpfi	104.5	187.8	66.5	54.1	3151	-1	161	3.27	3.35	9.2	156	5200	19	24	15750
vokswagen rabbit	front	four	diesel	std	two	sedan	fwd	ohc	idi	97.3	171.7	65.5	55.7	2261	2	97	3.01	3.4	23	52	4800	37	46	7775
volkswagen 1131 deluxe sedan	front	four	gas	std	two	sedan	fwd	ohc	mpfi	97.3	171.7	65.5	55.7	2209	2	109	3.19	3.4	9	85	5250	27	34	7975
volkswagen model 111	front	four	diesel	std	four	sedan	fwd	ohc	idi	97.3	171.7	65.5	55.7	2264	2	97	3.01	3.4	23	52	4800	37	46	7995
volkswagen type 3	front	four	gas	std	four	sedan	fwd	ohc	mpfi	97.3	171.7	65.5	55.7	2212	2	109	3.19	3.4	9	85	5250	27	34	8195
volkswagen 411 (sw)	front	four	gas	std	four	sedan	fwd	ohc	mpfi	97.3	171.7	65.5	55.7	2275	2	109	3.19	3.4	9	85	5250	27	34	8495
volkswagen super beetle	front	four	diesel	turbo	four	sedan	fwd	ohc	idi	97.3	171.7	65.5	55.7	2319	2	97	3.01	3.4	23	68	4500	37	42	9495
volkswagen dasher	front	four	gas	std	four	sedan	fwd	ohc	mpfi	97.3	171.7	65.5	55.7	2300	2	109	3.19	3.4	10	100	5500	26	32	9995
vw dasher	front	four	gas	std	two	convertible	fwd	ohc	mpfi	94.5	159.3	64.2	55.6	2254	3	109	3.19	3.4	8.5	90	5500	24	29	11595
vw rabbit	front	four	gas	std	two	hatchback	fwd	ohc	mpfi	94.5	165.7	64	51.4	2221	3	109	3.19	3.4	8.5	90	5500	24	29	9980
volkswagen rabbit	front	five	gas	std	four	sedan	fwd	ohc	mpfi	100.4	180.2	66.9	55.1	2661	0	136	3.19	3.4	8.5	110	5500	19	24	13295
volkswagen rabbit custom	front	four	diesel	turbo	four	sedan	fwd	ohc	idi	100.4	180.2	66.9	55.1	2579	0	97	3.01	3.4	23	68	4500	33	38	13845
volkswagen dasher	front	four	gas	std	four	wagon	fwd	ohc	mpfi	100.4	183.1	66.9	55.1	2563	0	109	3.19	3.4	9	88	5500	25	31	12290
volvo 145e (sw)	front	four	gas	std	four	sedan	rwd	ohc	mpfi	104.3	188.8	67.2	56.2	2912	-2	141	3.78	3.15	9.5	114	5400	23	28	12940
volvo 144ea	front	four	gas	std	four	wagon	rwd	ohc	mpfi	104.3	188.8	67.2	57.5	3034	-1	141	3.78	3.15	9.5	114	5400	23	28	13415
volvo 244dl	front	four	gas	std	four	sedan	rwd	ohc	mpfi	104.3	188.8	67.2	56.2	2935	-2	141	3.78	3.15	9.5	114	5400	24	28	15985
volvo 245	front	four	gas	std	four	wagon	rwd	ohc	mpfi	104.3	188.8	67.2	57.5	3042	-1	141	3.78	3.15	9.5	114	5400	24	28	16515
volvo 264gl	front	four	gas	turbo	four	sedan	rwd	ohc	mpfi	104.3	188.8	67.2	56.2	3045	-2	130	3.62	3.15	7.5	162	5100	17	22	18420
volvo diesel	front	four	gas	turbo	four	wagon	rwd	ohc	mpfi	104.3	188.8	67.2	57.5	3157	-1	130	3.62	3.15	7.5	162	5100	17	22	18950
volvo 145e (sw)	front	four	gas	std	four	sedan	rwd	ohc	mpfi	109.1	188.8	68.9	55.5	2952	-1	141	3.78	3.15	9.5	114	5400	23	28	16845
volvo 144ea	front	four	gas	turbo	four	sedan	rwd	ohc	mpfi	109.1	188.8	68.8	55.5	3049	-1	141	3.78	3.15	8.7	160	5300	19	25	19045
volvo 244dl	front	six	gas	std	four	sedan	rwd	ohcv	mpfi	109.1	188.8	68.9	55.5	3012	-1	173	3.58	2.87	8.8	134	5500	18	23	21485
volvo 246	front	six	diesel	turbo	four	sedan	rwd	ohc	idi	109.1	188.8	68.9	55.5	3217	-1	145	3.01	3.4	23	106	4800	26	27	22470
volvo 264gl	front	four	gas	turbo	four	sedan	rwd	ohc	mpfi	109.1	188.8	68.9	55.5	3062	-1	141	3.78	3.15	9.5	114	5400	19	25	22625
